Output,Reviews
Yes,"Nil
"
Yes,Nil
Yes,"Many a times payment gateways are an issue, so getting the refund and the surcharges are an inconvenience"
Yes,nil
Yes,NIL
Yes,NIL
Yes,Nil
Yes,NIL
Yes,Nil
Yes,Nil
Yes,Nil
Yes,Language barrier is also one major issue. Moslty these deliVery   boys are only familiar with Kanada which creates a problem while addressing any issue.
Yes,Nil
Yes,Nil
Yes,NIL
Yes,NIL
Yes,NIL
Yes,"Spillage, bad packaging and missing items "
Yes,Once my order from kfc got exchanged with someone else. Fault was deliVery   boy's. 
Yes,Nil
Yes,NIL
Yes,Nil
Yes,I feel Swiggy has a good interface for users and the deliVery   time to my place in Bangalore taken by Swiggy is less than Zomato when ordered from same restaurant 
Yes,NIL
Yes,NIL
Yes,Nil
Yes,NIL
Yes,Nil
Yes,NIL
Yes,No
Yes,NIL
Yes,NIL
Yes,I expect faster deliVery   in my area
Yes,Nil
Yes,NIL
Yes,Nil
No,"Now days deliVery   ?? is improved a lot like fast deliVery   ,but now corna time many people are hesitating to order "
Yes,I love zomato but it requires quality in deliver service. 
Yes,NIL
Yes,NIL
Yes,Prefer hygienic deliVery   people
Yes,nil
Yes,NIL
Yes,NIL
Yes,NIL
Yes,NIL
Yes,NIL
Yes,-
Yes,"Spillage, bad packaging and missing items "
Yes,Nil
Yes,Nil
Yes,NiL
Yes,No
Yes,N0
Yes,Nil
Yes,I have normally had good experiences with swiggy especially for payments and refunds
Yes,NIL
Yes,NIL
Yes,NIL
Yes,NIL
Yes,Nil
Yes,Nill
Yes,NIL
Yes,Nil
Yes,NIL
Yes,No
Yes,Good
Yes,Nil
Yes,Nil
Yes,Good so far
Yes,Nil
No,Nil
Yes,NIL
Yes,Nil
Yes,Nil
Yes,Nil
Yes,NIL
Yes,Nil
Yes,NIL
Yes,NIL
Yes,Nil
Yes,NIL
Yes,Nil
Yes,NIL
Yes,NIL
Yes,Nil
Yes,NIL
Yes,NIL
No,"Now days deliVery   ?? is improved a lot like fast deliVery   ,but now corna time many people are hesitating to order "
No,I hate online deliveries.Had harsh past experiences with deliVery   boys and the company responses
No,nil
No,I expect the food that is being delivered to be hot and fresh
Yes,I love swiggy and their app user interface
Yes,Nil
Yes,No Comments!
Yes,NIL
Yes,Nil
Yes,Nil
No,I expect quality food rather than deliVery   time and ratings
No,Expect the deliVery   person to understand our hunger
No,Nil
Yes,Nil
Yes,NIL
Yes,Need more deliVery   bandwidth even in rural areas
Yes,Requires professional packaging with no leakage
No,NIL
No,Need more deliVery   people to cover all orders
Yes,Nil
No,NIL
Yes,NIL
Yes,nil 
Yes,Nil
Yes,No
Yes,Nil
Yes,Want different cuisine dishes options in my location
No,I had bad experience with deliVery   person. They need to be polite
Yes,I'm happy with the service of online deliVery   startups
No,I need the order to be delivered fast to my location
Yes,I'm satisfied with the service of swiggy
Yes,"I'm satisfied with zomato, I'm also a premium member"
No,"Freshness is Important but when it is packed by the usual package, I feel it's losing it is freshness and quality"
Yes,I have no problem with the deliVery   service. I'm satisfied
Yes,I love ordering from online as they have more varieties and discounts
Yes,Online deliVery   requires much hygiene consciousness now than ever before   
No,"I had bad experiences with deliVery   person, they need to be polite when asking for location and avoid asking us to come to a particular location to get the food"
Yes,I'm satisfied with the deliVery   service
Yes,NIL
Yes,None
Yes,NIL
Yes,Nil
Yes,I'm satisfied with the current service of swiggy and zomato
No,I require faster deliVery   with minimum calls
Yes,NIL
No,I had bad experiences with the food delivered to me 
Yes,nil
No,Nil 
Yes,I love swiggy !!
No,I once had damaged package from zomato and they declined to offer me refund.worst behavior !
Yes,I'm satisfied with swiggy and their wonderful offers
Yes,Nil
No,Nil
Yes,"Prices of food items differ while using different smartphones to order at the same time. So, there is no uniform pricing system in food deliVery   apps. But yes, they add a lot of convenience in our lives!"
Yes,I'm okay ordering online for food
Yes,I love ordering candies for my children from swiggy
No,I hate zomato and food panda. Poor tracking and poor customer service
Yes,Best service is provided by swiggy
Yes,Nil 
Yes,Nil
Yes,NIL
Yes,NIL
Yes,Nil 
Yes,Nil
Yes,Swiggy and zomato are the best food deliVery   apps
Yes,I have no issues with the deliVery   
Yes,Food deliVery   apps are performing well in Bangalore. But poor deliVery   when it comes to rural places
Yes,Nil
Yes,I love being a part of zomato premium member. I get amazing offers
Yes,"Whenever I'm not well, use dunzo to order for my whole family "
No,Worst behavior by customer care. They process refund quite late
Yes,Best deliVery   people working hard for their family. respect them
Yes,I have no issues with the food deliVery   service. They're good
No,I can't blame the deliVery   people for late deliVery  . It lies in the logistics department of such startups.
Yes,NIL
Yes,I'm satisfied with the service and swiggy is the best
Yes,I love food deliVery   service. They are amazing 
No,"I require faster deliVery  . Nowadays due to covid, the deliVery   service is slow"
No,A deliVery   person abused me for marking the location wrong. I can understand his tedious work. But abusing with such vulgar words is not tolerable
Yes,Nil
Yes,Certainly a wonderful deliVery   service
No,There are not much restaurant choices
Yes,No problem with food deliVery   startups
Yes,NIL
Yes,NIL
Yes,"Best service, Crazy drivers !"
Yes,I have no problem with deliVery   service. BEST service !
Yes,I have good experience with swiggy. No issues
No,They really need to deliVery   fast
No,Not happy with the food quality when it is delivered
Yes,"Tracking system needs to be improved, sometimes the deliVery   guy is still and doesn't show his movements"
No,"If deliVery   gets slow, I tend to give poor ratings on deliVery   "
No,I want both deliVery   to be quick as well as food quality to be good
Yes,Paid but never received it. No fresh and over paid compared to buying it directly 
Yes,NIL
No,NIL
Yes,All good with the service.
Yes,"I love zomato's service 
-from a premium member"
Yes,NIL
Yes,"I love swiggy service, followed by zomato"
No,Food quality is reducing when it gets delivered
Yes,My family is satisfied with food deliVery  . But I worry about the quality and hygiene
No,I had bad experiences in delivered food
Yes,Marvelous service by swiggy and zomato
Yes,I don't bother much about deliVery   unless the food is good
Yes,Swiggy deliVery   people are polite and fast as well
Yes,"Time doesn't bother me, But rating does. I order at high rated restaurants. preferably 4+ ratings"
Yes,NIL
Yes,I have no trouble with deliVery   of startup services
Yes,My family prefers good quality food so I order at highly rated restaurants
Yes,NIL
No,I had bad experience with deliVery  . It could be due to location.
Yes,Brilliant execution with the deliVery   process
Yes,Nil
Yes,NIL
Yes,"My home is near Phoenix marketcity, so time taken for deliVery   is less"
Yes,I'm quite satisfied with the service
Yes,I had no issues as per my experience. But heard deliVery   people are sometimes rude
No,I had few health issues after consuming delivered food. Restaurants need to improve their quality and deliVery   people should deliVery   it without tampering which might lead to contamination of food
Yes,NIL
Yes,I order most of my meals on swiggy or zomato depending upon the offers
No,I need the order to be delivered soon. It takes a lot of time 
No,Food needs to have good quality. It leads me to give higher rating
Yes,I appreciate the efforts of hardworking deliVery   people
No,DeliVery   is late. Need quick updates on location of order
Yes,I have no trouble with deliVery  
Yes,Nil
Yes,Very   few times I have  had bad experienced by aggregator or restaurant 
Yes,Best service comes with great offers and wonderful service
No,Bad deliVery   system and less restaurant choices
Yes,I order most of the times online and I feel they are safe and quick
Yes,I don't bother about ratings unless they taste good. But I prefer quicker deliVery  . Can't hold my hunger 
